No.,Nama_Produk,Kategori,Ukuran_per_Sajian,Satuan,Gula_per_sajian (g),Garam_per_sajian (mg),Gambar_Normal,Status_Garam,Status_Gula
297,Teajus Lemon,Minuman Seduh,6.0,Gram,5.0,0.0,,Normal,Normal
298,Monde Snack Gold,Snack Asin,20.0,Gram,3.0,35.0,,Normal,Normal
299,Monde Bromon Wafers Strawberry Susu,Snack Manis,25.0,Gram,7.0,35.0,,Normal,Tinggi
300,Monde Pola Snack Kentang Klasik,Snack Manis,25.0,Gram,2.0,75.0,,Normal,Normal
301,Monde Shortbread,Snack Manis,20.0,Gram,4.0,50.0,,Normal,Normal
302,Monde Bromon Cookies Original,Snack Manis,20.0,Gram,5.0,10.0,,Normal,Normal
303,Indomaret Cashew Milk Chocolate,Snack Manis,30.0,Gram,11.0,25.0,,Normal,Tinggi
304,Indomaret Roasted Chickpeas Kacang Arab Panggang,Snack Asin,30.0,Gram,2.0,115.0,,Normal,Normal
305,Kokola Kukis Susu Vanilla,Snack Manis,30.0,Gram,7.0,120.0,,Normal,Tinggi
306,Gery Salut Chocolate Coconut,Snack Manis,22.0,Gram,5.0,120.0,,Normal,Normal
308,Aice Watermelon Ice Cream,Snack Manis,65.0,Gram,13.0,0.0,,Normal,Tinggi
309,Es Krim Wall's Corn,Snack Manis,98.0,mL,9.0,35.0,,Normal,Tinggi
310,Ice Cream Wall's Choco Nutty Crunch,Snack Manis,100.0,mL,15.0,40.0,,Normal,Tinggi
311,Diamond Milk Susu UHT Full Cream,Minuman Kemasan,200.0,mL,6.0,100.0,,Normal,Tinggi
312,Sunpride 100% Fruit Juice Pineapple Guava,Minuman Kemasan,200.0,mL,18.0,20.0,,Normal,Tinggi
313,Sunpride 100% Fruit Juice Pineapple Passion Fruit,Minuman Kemasan,200.0,mL,24.0,25.0,,Normal,Tinggi
314,Sunpride 100% Fruit Juice Pineapple Apple Fruit,Minuman Kemasan,200.0,mL,16.0,20.0,,Normal,Tinggi
315,Kopi Kenangan Royal Cheese Latte (botol),Minuman Kemasan,200.0,mL,2.0,170.0,,Normal,Normal
316,Kopi Kenangan Japanese Matcha Espresso (botol),Minuman Kemasan,200.0,mL,17.0,160.0,,Normal,Tinggi
317,Kopi Kenangan Arabica Blend Kopi Susu Black Aren,Minuman Kemasan,220.0,mL,14.0,200.0,,Normal,Tinggi
318,Springlee Salted Egg Potato Chips,Snack Asin,20.0,Gram,1.0,180.0,,Normal,Normal
319,Sosis So Nice Sapi Pedas,Snack Asin,50.0,Gram,1.0,520.0,,Normal,Normal
320,Sosi So Nice Otak Otak,Snack Asin,63.0,Gram,0.0,450.0,,Normal,Normal
321,Sosis So Nice Ayam,Snack Asin,51.0,Gram,0.0,400.0,,Normal,Normal
322,Bagelen Crunchy French Toast,Snack Manis,19.5,Gram,7.0,110.0,,Normal,Tinggi
323,Probitas Bagelen Cream Cheese Spread,Snack Manis,15.0,Gram,2.0,120.0,,Normal,Normal
324,Super Bihun Kuah,Mie Instan,51.0,Gram,0.0,1190.0,,Normal,Normal
325,Super Bubur Kuah Kari,Mie Instan,46.0,Gram,1.0,720.0,,Normal,Normal
