No.,Nama_Produk,Kategori,Ukuran_per_Sajian,Satuan,Gula_per_sajian (g),Garam_per_sajian (mg),Gambar_Normal,Status_Garam,Status_Gula
134,Good Day Mocacino (botol),Minuman Kemasan,250.0,mL,21.0,75.0,cellmage_312819832_266.jpg,Normal,Tinggi
135,Nextar Pineapple,Snack Manis,27.0,Gram,7.0,95.0,cellmage_312819832_268.jpg,Normal,Tinggi
136,Garuda Pilus Rasa Mie Goreng,Snack Asin,14.0,Gram,2.0,160.0,cellmage_312819832_270.jpg,Normal,Normal
137,Roma Malkist Kelapa Kopyor,Snack Manis,21.0,Gram,4.0,85.0,cellmage_312819832_272.jpg,Normal,Normal
138,Roma Malkist Cokelat,Snack Manis,18.0,Gram,4.0,85.0,cellmage_312819832_274.jpg,Normal,Normal
139,Biskuit Lemonia,Snack Manis,20.0,Gram,4.0,50.0,cellmage_312819832_276.jpg,Normal,Normal
140,Chocolatos Waver Rasa Vanilla,Snack Manis,12.0,Gram,3.0,20.0,cellmage_312819832_278.jpg,Normal,Normal
141,Chocolatos Waver Rasa Keju,Snack Manis,14.0,Gram,5.0,65.0,cellmage_312819832_280.jpg,Normal,Normal
142,Chocolatos Wafer Rasa Dark Chocolate,Snack Manis,13.0,Gram,4.0,35.0,cellmage_312819832_282.jpg,Normal,Normal
143,Ice Cream Joyday Choco Berry,Snack Manis,40.0,mL,7.0,10.0,cellmage_312819832_284.jpg,Normal,Tinggi
144,Ice Cream Joyday Double Scoop Chocolate Vanilla,Snack Manis,100.0,mL,9.0,15.0,cellmage_312819832_286.jpg,Normal,Tinggi
145,Ice Cream Joyday Fruitti Duo,Snack Manis,42.0,mL,6.0,15.0,cellmage_312819832_288.jpg,Normal,Tinggi
146,Indomie Goreng Jumbo Rasa Ayam Panggang,Mie Instan,120.0,Gram,8.0,1100.0,cellmage_312819832_290.jpg,Normal,Tinggi
147,Indomie Soto,Mie Instan,70.0,Gram,2.0,1120.0,cellmage_312819832_292.jpg,Normal,Normal
148,Indomie Goreng Ayam Geprek,Mie Instan,85.0,Gram,4.0,960.0,cellmage_312819832_294.jpg,Normal,Normal
149,Indomie Goreng Rendang,Mie Instan,91.0,Gram,6.0,830.0,cellmage_312819832_296.jpg,Normal,Tinggi
150,Pang Pang Korea,Snack Asin,12.0,Gram,1.0,65.0,cellmage_312819832_298.jpg,Normal,Normal
151,Chiki Astaga,Snack Asin,12.0,Gram,1.0,90.0,cellmage_312819832_300.jpg,Normal,Normal
152,Kopi ABC Susu,Minuman Seduh,30.0,Gram,18.0,45.0,cellmage_312819832_302.jpg,Normal,Tinggi
153,Pringles Original,Snack Asin,25.0,Gram,0.0,125.0,cellmage_312819832_304.jpg,Normal,Normal
154,Pringles Texas BBQ,Snack Asin,25.0,Gram,1.0,100.0,cellmage_312819832_306.jpg,Normal,Normal
155,Pota Bee Ayam Bakar,Snack Asin,30.0,Gram,1.0,250.0,cellmage_312819832_308.jpg,Normal,Normal
156,Pota Bee Rumput Laut Panggang,Snack Asin,30.0,Gram,1.0,150.0,cellmage_312819832_310.jpg,Normal,Normal
157,Kinder Creamy,Snack Manis,19.0,Gram,9.0,20.0,cellmage_312819832_312.jpg,Normal,Tinggi
158,Smax Balls Cokelat,Snack Manis,20.0,Gram,3.0,35.0,cellmage_312819832_314.jpg,Normal,Normal
159,Deka Wafer  Roll Choco,Snack Manis,30.0,Gram,13.0,40.0,cellmage_312819832_316.jpg,Normal,Tinggi
160,Deka Wafer  Roll Choco Banana,Snack Manis,30.0,Gram,11.0,30.0,cellmage_312819832_318.jpg,Normal,Tinggi
161,Beng-Beng Share it,Snack Manis,9.5,Gram,3.0,20.0,cellmage_312819832_320.jpg,Normal,Normal
162,Chuba Keripik Singkong Balado,Snack Asin,20.0,Gram,1.0,125.0,cellmage_312819832_322.jpg,Normal,Normal
163,Yupi Gummy Pizza,Snack Manis,23.0,Gram,8.0,0.0,cellmage_312819832_324.jpg,Normal,Tinggi
164,Yupi Bolicious Sweet Lychee,Snack Manis,15.0,Gram,8.0,5.0,cellmage_312819832_326.jpg,Normal,Tinggi
165,Happy Tos Tortilla Corn Chips,Snack Asin,25.0,Gram,1.0,125.0,cellmage_312819832_328.jpg,Normal,Normal
166,Mie Sedaap White Curry,Mie Instan,81.0,Gram,3.0,840.0,cellmage_312819832_330.jpg,Normal,Normal
167,Mayasi Crispy Crepes Chocolate,Snack Manis,15.0,Gram,6.0,40.0,cellmage_312819832_332.jpg,Normal,Tinggi
168,Momogi long Stick Rumput Laut,Snack Asin,10.0,Gram,2.0,50.0,cellmage_312819832_334.jpg,Normal,Normal
169,Ichitan Thai Milk Tea,Minuman Kemasan,250.0,mL,17.0,130.0,cellmage_312819832_336.jpg,Normal,Tinggi
170,Ichi Ocha Teh hijau,Minuman Kemasan,330.0,mL,24.0,35.0,cellmage_312819832_338.jpg,Normal,Tinggi
171,Adem Sari Herbal Lemon Sparkling,Minuman Kemasan,250.0,mL,23.0,95.0,cellmage_312819832_340.jpg,Normal,Tinggi
172,Adem Sari Madu Lemon Tea,Minuman Kemasan,175.0,mL,15.0,35.0,cellmage_312819832_342.jpg,Normal,Tinggi
173,Floridina Orange Pulp & Coco Bitz,Minuman Kemasan,175.0,mL,19.0,25.0,cellmage_312819832_344.jpg,Normal,Tinggi
174,TeaJus Madu,Minuman Seduh,7.0,Gram,7.0,5.0,cellmage_312819832_346.jpg,Normal,Tinggi
175,Garuda Kacang Kulit,Snack Asin,25.0,Gram,0.0,250.0,cellmage_312819832_348.jpg,Normal,Normal
176,Garuda Skippy Peanut Butter Mini Ball,Snack Manis,10.0,Gram,3.0,25.0,cellmage_312819832_350.jpg,Normal,Normal
177,Garuda Crunchy Corn Tornado Sea Salt,Snack Asin,15.0,Gram,1.0,80.0,cellmage_312819832_352.jpg,Normal,Normal
178,Nissin Gekikara Ramen Carbonara,Mie Instan,81.0,Gram,5.0,1170.0,cellmage_312819832_354.jpg,Normal,Normal
179,Nissin Gekikara Ramen Ayam Pedas,Mie Instan,80.0,Gram,5.0,1030.0,cellmage_312819832_356.jpg,Normal,Normal
180,Nissin Butter Coconut Biscuits,Snack Manis,20.0,Gram,4.0,55.0,cellmage_312819832_358.jpg,Normal,Normal
181,Nissin Assorted Biscuit,Snack Manis,25.0,Gram,7.0,60.0,cellmage_312819832_360.jpg,Normal,Tinggi
182,Granola Oat Crunch,Snack Manis,50.0,Gram,12.0,180.0,cellmage_312819832_362.jpg,Normal,Tinggi
183,Anget Sari Wedang Jahe,Minuman Seduh,20.0,Gram,22.0,45.0,cellmage_312819832_364.jpg,Normal,Tinggi
184,Croissant Creamy Chocolate,Snack Manis,30.0,Gram,4.0,65.0,cellmage_312819832_366.jpg,Normal,Normal
185,Jasjus Jeruk,Minuman Seduh,6.0,Gram,5.0,15.0,cellmage_312819832_368.jpg,Normal,Normal
186,Marjan Strowberry,Minuman Seduh,30.0,mL,21.0,10.0,cellmage_312819832_370.jpg,Normal,Tinggi
187,Marjan Coco Pandan,Minuman Seduh,30.0,mL,21.0,5.0,cellmage_312819832_372.jpg,Normal,Tinggi
188,Yougurt Drink Realgood,Minuman Kemasan,125.0,mL,16.0,55.0,cellmage_312819832_374.jpg,Normal,Tinggi
189,Buavita Apel,Minuman Kemasan,245.0,mL,21.0,40.0,cellmage_312819832_376.jpg,Normal,Tinggi
190,Buavita Mangga,Minuman Kemasan,245.0,mL,20.0,85.0,cellmage_312819832_378.jpg,Normal,Tinggi
191,I'm coco Inaco leci,Minuman Kemasan,250.0,Gram,21.0,35.0,cellmage_312819832_380.jpg,Normal,Tinggi
192,Popmie Kari Ayam,Mie Instan,75.0,Gram,4.0,1450.0,cellmage_312819832_382.jpg,Normal,Normal
193,Popmie Baso Granat,Mie Instan,77.0,Gram,3.0,1460.0,cellmage_312819832_384.jpg,Normal,Normal
194,Bonbon Chocholate Cream Biskuit,Snack Manis,25.0,Gram,5.0,60.0,cellmage_312819832_386.jpg,Normal,Normal
195,Oat Choco,Snack Manis,30.0,Gram,6.0,60.0,cellmage_312819832_388.jpg,Normal,Tinggi
196,Kris Bee Pillow Strawberry,Snack Manis,12.0,Gram,2.0,20.0,cellmage_312819832_390.jpg,Normal,Normal
197,Roma Sandwich Peanut Butter,Snack Manis,29.0,Gram,6.0,75.0,cellmage_312819832_392.jpg,Normal,Tinggi
198,Lexus Lychee Cream,Snack Manis,19.0,Gram,6.0,65.0,cellmage_312819832_394.jpg,Normal,Tinggi
199,Monde Bourbon Choco,Snack Manis,12.0,Gram,3.0,15.0,cellmage_312819832_396.jpg,Normal,Normal
200,Selai Olai Blueberry,Snack Manis,24.0,Gram,7.0,85.0,cellmage_312819832_398.jpg,Normal,Tinggi
201,Smax Ring,Snack Asin,12.0,Gram,1.0,85.0,cellmage_312819832_400.jpg,Normal,Normal
202,Milo Sereal,Snack Manis,20.0,Gram,5.0,30.0,cellmage_312819832_402.jpg,Normal,Normal
203,Honey Stars Sereal,Snack Manis,20.0,Gram,5.0,25.0,cellmage_312819832_404.jpg,Normal,Normal
204,Kopi Kopiko,Minuman Kemasan,240.0,mL,20.0,120.0,cellmage_312819832_406.jpg,Normal,Tinggi
205,Vegan Vitasoy Stroberi,Minuman Kemasan,250.0,mL,13.0,125.0,cellmage_312819832_408.jpg,Normal,Tinggi
206,Popmie Ayam Bawang,Mie Instan,40.0,Gram,2.0,1270.0,cellmage_312819832_410.jpg,Normal,Normal
207,Mie Sukses isi 2 Ayam Bawang,Mie Instan,115.0,Gram,4.0,1220.0,cellmage_312819832_412.jpg,Normal,Normal
208,Naraya Narabis,Snack Manis,15.0,Gram,1.0,45.0,cellmage_312819832_414.jpg,Normal,Normal
209,Granola Dark Chocolate,Snack Manis,25.0,Gram,5.0,20.0,cellmage_312819832_416.jpg,Normal,Normal
210,Julies Lemond,Snack Manis,18.0,Gram,4.0,55.0,cellmage_312819832_418.jpg,Normal,Normal
211,Fruit Sandwich Blueberry,Snack Manis,100.0,Gram,19.0,0.0,cellmage_312819832_420.jpg,Normal,Tinggi
212,Biskuit Sultana,Snack Manis,120.0,kkal,9.0,130.0,cellmage_312819832_422.jpg,Normal,Tinggi
213,Gery Wafer Roll Bantal,Snack Manis,20.0,Gram,7.0,70.0,cellmage_312819832_424.jpg,Normal,Tinggi
214,Yupi Strawberry Kiss,Snack Manis,15.0,Gram,9.0,0.0,Yupi Strawberry Kiss.jpg,Normal,Tinggi
216,Yamazaki Myroti Gandum,Snack Manis,79.0,Gram,4.0,250.0,Yamazaki Myroti Gandum.jpg,Normal,Normal
217,Ultra Mimi Kids Full Cream,Minuman Kemasan,125.0,mL,6.0,60.0,Ultra Mimi Kids Full Creamjpg,Normal,Tinggi
218,Tropicana Slim Nutty Chocolate Cookies,Snack Manis,20.0,Gram,0.0,80.0,Tropicana Slim Nutty Chocolate Cookies.jpg,Normal,Normal
219,Relaxa Cuwi,Snack Manis,20.0,Gram,1.0,0.0,Relaxa Cuwi.jpg,Normal,Normal
220,Pop Ice Mangga,Minuman Seduh,25.0,Gram,15.0,15.0,Pop Ice Mangga.png,Normal,Tinggi
221,Pocky Strawberry Biscuit Stick,Snack Manis,21.0,Gram,7.0,45.0,Pocky Strawberry Biscuit Stick.jpg,Normal,Tinggi
222,Pillows Cokelat,Snack Manis,12.0,Gram,4.0,25.0,Pillows Cokelat.jpg,Normal,Normal
223,Oishi Sponge Crunch Yam Flavor,Snack Manis,18.0,Gram,3.0,25.0,Oishi Sponge Crunch Yam Flavor.jpg,Normal,Normal
224,Nissin Finger Cheese Biskuit,Snack Asin,25.0,Gram,1.0,200.0,Nissin Finger Cheese Biskuit.jpg,Normal,Normal
225,Momogi Jagung Bakar,Snack Asin,10.0,Gram,1.0,5.0,Momogi Jagung Bakar.jpg,Normal,Normal
226,Mogu Mogu Manggo,Minuman Kemasan,160.0,mL,18.0,50.0,Mogu Mogu Manggo.jpg,Normal,Tinggi
227,Mie Gemez Enaak,Snack Asin,20.0,Gram,0.0,240.0,Mie Gemez Enaak.jpg,Normal,Normal
228,Melts Dark Chocolate Cookies,Snack Manis,10.0,Gram,3.0,0.0,Melts Dark Chocolate Cookies.jpg,Normal,Normal
229,Maxicorn Barbeque,Snack Asin,20.0,Gram,1.0,100.0,Maxicorn Barbeque.jpg,Normal,Normal
